experiment_id,rmse,rmse_ci_lo,rmse_ci_hi,pearson_r,pearson_ci_lo,pearson_ci_hi,spearman_r,spearman_ci_lo,spearman_ci_hi,n_bootstrap,n_test
rf_ecfp4_aac,1.0065,0.9802,1.0318,0.7467,0.7318,0.7622,0.6737,0.6526,0.6942,1000,4715
rf_ecfp4_dipeptide,1.0192,0.9914,1.0449,0.7387,0.7222,0.756,0.6636,0.6436,0.6848,1000,4715
xgb_chemberta_5M_esm2_650M,1.0434,1.0152,1.0669,0.7242,0.708,0.7409,0.6478,0.6284,0.6694,1000,4715
xgb_chemberta_5M_esm2_35M_480,1.0473,1.021,1.0706,0.722,0.7059,0.7384,0.6517,0.6322,0.6724,1000,4715
xgb_ecfp4_esm2_8M,1.0483,1.0217,1.0721,0.7207,0.7037,0.7372,0.6309,0.6105,0.652,1000,4715
xgb_ecfp4_esm2_8M__seed456,1.051,1.0276,1.0728,0.6913,0.674,0.7091,0.6283,0.6082,0.6488,1000,4837
rf_ecfp4_aac__seed456,1.0516,1.0283,1.0753,0.6941,0.6754,0.7113,0.6276,0.6066,0.6467,1000,4837
xgb_chemberta_600_esm2_650M,1.0522,1.0251,1.0755,0.718,0.7013,0.7349,0.639,0.6176,0.6607,1000,4715
xgb_ecfp4_aac,1.0523,1.028,1.0751,0.7184,0.7018,0.7351,0.6399,0.6195,0.6607,1000,4715
lgbm_ecfp4_aac,1.0528,1.0277,1.0754,0.7197,0.7032,0.7354,0.6395,0.6178,0.6596,1000,4715
xgb_chemberta_5M_esm2_8M_320,1.0554,1.0282,1.0796,0.7169,0.7003,0.7333,0.6469,0.6287,0.668,1000,4715
xgb_chemberta_5M_prot_electra_256,1.0566,1.0289,1.0803,0.7152,0.6982,0.7323,0.6446,0.6248,0.6655,1000,4715
xgb_chemberta_600_esm2_35M_480,1.0577,1.0318,1.0807,0.7147,0.6979,0.7313,0.6418,0.6213,0.6623,1000,4715
xgb_chemberta_prot_electra,1.058,1.033,1.0812,0.7142,0.6976,0.7309,0.638,0.6174,0.6583,1000,4715
xgb_chemberta_600_prot_electra_256,1.058,1.033,1.0812,0.7142,0.6976,0.7309,0.638,0.6174,0.6583,1000,4715
xgb_chemberta_5M_esm2_150M,1.0587,1.0313,1.0829,0.715,0.6972,0.732,0.6397,0.6199,0.6615,1000,4715
xgb_chemberta_5M_esmc_300M,1.0599,1.0328,1.0834,0.7133,0.6966,0.7307,0.6398,0.62,0.6612,1000,4715
xgb_chemberta_600_esmc_300M,1.0627,1.0371,1.0866,0.7113,0.6943,0.7281,0.6341,0.6126,0.656,1000,4715
xgb_chemberta_77M_esm2_650M,1.0661,1.0399,1.0899,0.7098,0.6925,0.7275,0.6384,0.6173,0.6599,1000,4715
xgb_chemberta_100M_esm2_650M,1.0662,1.0403,1.0892,0.7094,0.6935,0.726,0.6238,0.6026,0.6454,1000,4715
xgb_chemberta_600_esm2_8M_320,1.067,1.0411,1.0905,0.7101,0.6926,0.7274,0.6299,0.6099,0.6513,1000,4715
xgb_chemberta_esm2_8M,1.067,1.0411,1.0905,0.7101,0.6926,0.7274,0.6299,0.6099,0.6513,1000,4715
xgb_chemberta_600_kmer3_8000,1.0687,1.0428,1.0928,0.7074,0.6904,0.724,0.6234,0.6018,0.6448,1000,4715
xgb_ecfp6_1024_kmer3_8000,1.0691,1.0423,1.0936,0.7073,0.6902,0.7247,0.6215,0.5999,0.6437,1000,4715
xgb_ecfp6_kmer3,1.0691,1.0423,1.0936,0.7073,0.6902,0.7247,0.6215,0.5999,0.6437,1000,4715
xgb_chemberta_esm2_8M__seed456,1.0693,1.0468,1.0898,0.6746,0.6567,0.6918,0.5955,0.5749,0.6155,1000,4837
xgb_chemberta_600_esm2_150M,1.0694,1.0426,1.0937,0.707,0.6889,0.7239,0.6258,0.6047,0.6474,1000,4715
xgb_chemberta_100M_esmc_300M,1.0716,1.0465,1.0954,0.7058,0.6888,0.7227,0.6208,0.6005,0.6427,1000,4715
xgb_chemberta_100M_esm2_35M_480,1.0717,1.0451,1.0957,0.7059,0.6879,0.7225,0.6228,0.6015,0.6432,1000,4715
xgb_chemberta_100M_esm2_8M_320,1.0718,1.0482,1.0945,0.7065,0.6904,0.7222,0.6286,0.6075,0.6487,1000,4715
xgb_chemberta_77M_esm2_8M_320,1.0722,1.0453,1.0958,0.7055,0.6894,0.7226,0.6355,0.6166,0.6559,1000,4715
xgb_ecfp6_1024_prot_electra_256,1.0726,1.0465,1.0974,0.7052,0.6873,0.7237,0.6145,0.5919,0.6363,1000,4715
rf_ecfp4_aac__seed123,1.0728,1.0461,1.1005,0.6825,0.6627,0.7001,0.648,0.6281,0.6671,1000,4925
mlp_chemberta_5M_esm2_8M_320,1.0744,1.0433,1.1005,0.7162,0.6989,0.734,0.6562,0.6382,0.6775,1000,4715
xgb_chemberta_100M_esm2_150M,1.077,1.0516,1.1014,0.7029,0.6857,0.7203,0.6161,0.5951,0.6393,1000,4715
xgb_chemberta_77M_esm2_35M_480,1.0771,1.0513,1.1001,0.703,0.6862,0.721,0.6323,0.6117,0.6533,1000,4715
xgb_chemberta_100M_prot_electra_256,1.0775,1.0525,1.1012,0.7014,0.6835,0.7179,0.6188,0.5979,0.6407,1000,4715
xgb_chemberta_prot_electra__seed123,1.0778,1.0527,1.1049,0.6721,0.6535,0.6897,0.6379,0.6195,0.6563,1000,4925
xgb_chemberta_77M_esmc_300M,1.078,1.0514,1.1015,0.7018,0.684,0.7191,0.6245,0.6044,0.6461,1000,4715
xgb_chemberta_prot_electra__seed456,1.0795,1.0572,1.1015,0.6707,0.6517,0.6884,0.5861,0.565,0.6061,1000,4837
mlp_chemberta_77M_esm2_8M_320,1.0796,1.0518,1.1062,0.7099,0.693,0.7269,0.6439,0.6246,0.6652,1000,4715
mlp_chemberta_77M_esm2_35M_480,1.0801,1.0511,1.1102,0.7158,0.6978,0.7334,0.6533,0.6337,0.6732,1000,4715
xgb_chemberta_77M_prot_electra_256,1.0816,1.055,1.1053,0.6991,0.6819,0.7166,0.6272,0.6069,0.6489,1000,4715
xgb_ecfp4_esm2_8M__seed123,1.0818,1.0565,1.1077,0.6745,0.6556,0.6922,0.6283,0.6074,0.648,1000,4925
xgb_chemberta_77M_esm2_150M,1.0822,1.0557,1.1069,0.699,0.6816,0.7165,0.6302,0.6094,0.6525,1000,4715
xgb_ecfp4_aac__seed456,1.0838,1.0612,1.1042,0.6676,0.6499,0.6858,0.5886,0.5684,0.6097,1000,4837
xgb_chemberta_esm2_8M__seed123,1.0882,1.0635,1.1134,0.6634,0.6449,0.6816,0.6187,0.599,0.6387,1000,4925
xgb_chemberta_aac,1.0893,1.0642,1.1122,0.695,0.6782,0.7122,0.6221,0.6008,0.6439,1000,4715
xgb_chemberta_600_protein_char,1.0893,1.0642,1.1122,0.695,0.6782,0.7122,0.6221,0.6008,0.6439,1000,4715
mlp_chemberta_600_esm2_650M,1.0901,1.059,1.1177,0.7054,0.6872,0.7239,0.6397,0.6194,0.6602,1000,4715
lgbm_ecfp4_aac__seed456,1.0906,1.0685,1.1108,0.6628,0.6447,0.6819,0.581,0.5592,0.6013,1000,4837
xgb_chemberta_aac__seed456,1.0918,1.0694,1.1137,0.6544,0.6349,0.6723,0.5672,0.545,0.5873,1000,4837
xgb_ecfp6_1024_protein_char,1.092,1.0661,1.1164,0.6935,0.676,0.7115,0.6089,0.5861,0.6307,1000,4715
mlp_chemberta_600_prot_electra_256,1.0942,1.0634,1.123,0.7078,0.6889,0.7269,0.6428,0.622,0.6638,1000,4715
mlp_chemberta_600_esmc_300M,1.0978,1.0704,1.1231,0.6988,0.6806,0.7174,0.6241,0.6022,0.6469,1000,4715
mlp_chemberta_100M_esm2_650M,1.1007,1.0735,1.1272,0.7027,0.6846,0.7217,0.6225,0.6015,0.6448,1000,4715
bica_chemberta_5M_esmc_300M,1.102,1.0752,1.127,0.702,0.6835,0.7197,0.631,0.6103,0.6518,1000,4715
mlp_chemberta_5M_esm2_35M_480,1.1036,1.072,1.1309,0.7059,0.6882,0.7231,0.6492,0.6306,0.6692,1000,4715
mlp_chemberta_100M_esmc_300M,1.1062,1.0804,1.1307,0.6933,0.6751,0.7116,0.6196,0.5988,0.6409,1000,4715
bica_chemberta_5M_esm2_650M,1.1068,1.0762,1.1343,0.6922,0.6741,0.7122,0.6091,0.5888,0.6314,1000,4715
mlp_medium_ecfp4_dipeptide,1.1082,1.0816,1.1339,0.7019,0.684,0.7185,0.6183,0.5965,0.6386,1000,4715
mlp_chemberta_600_esm2_8M_320,1.1091,1.0799,1.1359,0.6953,0.6762,0.7138,0.6231,0.6025,0.6455,1000,4715
distmat_cnn_distmat_100_esm2_35M_480,1.1092,1.08,1.1374,0.6973,0.6782,0.7152,0.6307,0.6093,0.6512,1000,4715
mlp_chemberta_77M_esm2_650M,1.1115,1.082,1.1389,0.6999,0.6816,0.7189,0.6244,0.6038,0.6467,1000,4715
mlp_ecfp4_prot_electra,1.1129,1.0853,1.1398,0.696,0.6784,0.7136,0.6183,0.5956,0.6408,1000,4715
distmat_cnn_esm2_8M,1.1147,1.0876,1.1392,0.6902,0.672,0.7087,0.6195,0.5995,0.6417,1000,4715
mlp_chemberta_77M_esmc_300M,1.1172,1.0873,1.1439,0.6864,0.6673,0.7062,0.6139,0.5919,0.6357,1000,4715
lgbm_ecfp4_aac__seed123,1.1174,1.0916,1.1428,0.6505,0.6302,0.6685,0.6084,0.5872,0.6276,1000,4925
mlp_chemberta_prot_electra__seed123,1.1179,1.0886,1.1474,0.6644,0.6445,0.6837,0.6256,0.6049,0.6456,1000,4925
transformer_chemberta_100M_prot_electra_256,1.1194,1.0938,1.142,0.6791,0.6611,0.6963,0.6019,0.5798,0.6244,1000,4715
mlp_deep_ecfp6_kmer3__seed456,1.1212,1.095,1.1453,0.6602,0.6413,0.6798,0.5978,0.5758,0.6191,1000,4837
mlp_chemberta_prot_electra__seed456,1.1213,1.0978,1.1463,0.6448,0.6243,0.6645,0.5674,0.5437,0.5878,1000,4837
mlp_wide_maccs_dipeptide,1.1213,1.0893,1.1518,0.6999,0.6808,0.7189,0.6355,0.6127,0.6568,1000,4715
mlp_chemberta_5M_esm2_650M,1.1216,1.0912,1.1488,0.6797,0.6598,0.6992,0.6176,0.5963,0.64,1000,4715
mlp_chemberta_600_kmer3_8000,1.1227,1.0949,1.1478,0.684,0.6643,0.7022,0.6019,0.5789,0.6234,1000,4715
mlp_ecfp4_esm2_8M__seed456,1.1233,1.0987,1.1469,0.6581,0.6391,0.6768,0.5916,0.5719,0.612,1000,4837
