experiment_id,model_family,ligand_repr,protein_repr,test_rmse,test_pearson_r,test_spearman_r
rf_ecfp4_aac,tree,ecfp4_1024,aac_20,1.0058,0.7472,0.6746
rf_ecfp4_esm2_8M,tree,ecfp4_1024,esm2_8M_320,1.0083,0.745,0.6662
rf_ecfp4_dipeptide,tree,ecfp4_1024,dipeptide_400,1.0192,0.7387,0.6636
rf_ecfp4_aac__seed42,tree,ecfp4_1024,aac_20,1.0213,0.7392,
lgbm_ecfp4_esm2_8M,tree,ecfp4_1024,esm2_8M_320,1.0415,0.7253,0.6412
xgb_chemberta_5M_esm2_650M,tree,chemberta_5M,esm2_650M,1.0434,0.7242,0.6478
xgb_chemberta_5M_esm2_35M_480,tree,chemberta_5M,esm2_35M_480,1.0473,0.722,0.6517
xgb_ecfp4_esm2_8M,tree,ecfp4_1024,esm2_8M_320,1.0483,0.7207,0.6309
xgb_chemberta_600_esm2_650M,tree,chemberta_600,esm2_650M,1.0522,0.718,0.639
xgb_ecfp4_aac,tree,ecfp4_1024,aac_20,1.0523,0.7184,0.6399
lgbm_ecfp4_aac,tree,ecfp4_1024,aac_20,1.0528,0.7197,0.6395
xgb_chemberta_5M_esm2_8M_320,tree,chemberta_5M,esm2_8M_320,1.0554,0.7169,0.6469
xgb_chemberta_5M_prot_electra_256,tree,chemberta_5M,prot_electra_256,1.0566,0.7152,0.6446
xgb_chemberta_600_esm2_35M_480,tree,chemberta_600,esm2_35M_480,1.0577,0.7147,0.6418
xgb_chemberta_prot_electra,tree,chemberta_600,prot_electra_256,1.058,0.7142,0.638
xgb_chemberta_600_prot_electra_256,tree,chemberta_600,prot_electra_256,1.058,0.7142,0.638
xgb_chemberta_5M_esm2_150M,tree,chemberta_5M,esm2_150M,1.0587,0.715,0.6397
xgb_chemberta_5M_esmc_300M,tree,chemberta_5M,esmc_300M,1.0599,0.7133,0.6398
xgb_chemberta_600_esmc_300M,tree,chemberta_600,esmc_300M,1.0627,0.7113,0.6341
xgb_chemberta_77M_esm2_650M,tree,chemberta_77M,esm2_650M,1.0661,0.7098,0.6384
xgb_chemberta_100M_esm2_650M,tree,chemberta_100M,esm2_650M,1.0662,0.7094,0.6238
xgb_chemberta_esm2_8M,tree,chemberta_600,esm2_8M_320,1.067,0.7101,0.6299
xgb_chemberta_600_esm2_8M_320,tree,chemberta_600,esm2_8M_320,1.067,0.7101,0.6299
xgb_chemberta_600_kmer3_8000,tree,chemberta_600,kmer3_8000,1.0687,0.7074,0.6234
xgb_ecfp6_1024_kmer3_8000,tree,ecfp6_1024,kmer3_8000,1.0691,0.7073,0.6215
xgb_ecfp6_kmer3,tree,ecfp6_1024,kmer3_8000,1.0691,0.7073,0.6215
xgb_chemberta_600_esm2_150M,tree,chemberta_600,esm2_150M,1.0694,0.707,0.6258
xgb_chemberta_100M_esmc_300M,tree,chemberta_100M,esmc_300M,1.0716,0.7058,0.6208
xgb_chemberta_100M_esm2_35M_480,tree,chemberta_100M,esm2_35M_480,1.0717,0.7059,0.6228
xgb_chemberta_100M_esm2_8M_320,tree,chemberta_100M,esm2_8M_320,1.0718,0.7065,0.6286
xgb_chemberta_77M_esm2_8M_320,tree,chemberta_77M,esm2_8M_320,1.0722,0.7055,0.6355
xgb_ecfp6_1024_prot_electra_256,tree,ecfp6_1024,prot_electra_256,1.0726,0.7052,0.6145
mlp_chemberta_5M_esm2_8M_320,mlp,chemberta_5M,esm2_8M_320,1.0744,0.7162,0.6562
xgb_chemberta_100M_esm2_150M,tree,chemberta_100M,esm2_150M,1.077,0.7029,0.6161
xgb_chemberta_77M_esm2_35M_480,tree,chemberta_77M,esm2_35M_480,1.0771,0.703,0.6323
xgb_chemberta_100M_prot_electra_256,tree,chemberta_100M,prot_electra_256,1.0775,0.7014,0.6188
xgb_chemberta_77M_esmc_300M,tree,chemberta_77M,esmc_300M,1.078,0.7018,0.6245
