timestamp,experiment_id,model_name,model_family,ligand_repr,protein_repr,fusion_strategy,n_params,epochs_trained,batch_size,learning_rate,split_type,n_train,n_val,n_test,val_rmse,val_pearson_r,val_spearman_r,test_rmse,test_pearson_r,test_spearman_r,train_time_sec,notes
2026-04-02 07:59:40 UTC,ridge_chemberta_600_esm2_8M_320,ridge_chemberta_600_esm2_8M_320,linear,chemberta_600,esm2_8M_320,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.3406,0.4644,0.4309,1.4336,0.5202,0.4704,0.4,Full grid - new embeddings
2026-04-02 08:04:43 UTC,ridge_ecfp4_aac,ridge_ecfp4_aac,linear,ecfp4_1024,aac_20,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.6564,0.2809,0.2515,1.5498,0.4339,0.3907,0.3,
2026-04-02 08:04:51 UTC,ridge_ecfp4_dipeptide,ridge_ecfp4_dipeptide,linear,ecfp4_1024,dipeptide_400,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.467,0.4129,0.3464,1.4227,0.5243,0.4634,0.3,
2026-04-02 08:05:22 UTC,ridge_maccs_aac,ridge_maccs_aac,linear,maccs_167,aac_20,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.345,0.3478,0.2903,1.3079,0.5025,0.4494,0.1,
2026-04-02 08:10:49 UTC,ridge_rdkit_aac,ridge_rdkit_aac,linear,rdkit_200,aac_20,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.3516,0.3689,0.3056,1.2919,0.522,0.453,0.0,
2026-04-02 08:11:15 UTC,rf_ecfp4_aac,rf_ecfp4_aac,tree,ecfp4_1024,aac_20,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,0.9869,0.7233,0.6586,1.0065,0.7467,0.6737,23.4,
2026-04-02 08:12:21 UTC,rf_ecfp4_dipeptide,rf_ecfp4_dipeptide,tree,ecfp4_1024,dipeptide_400,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,0.976,0.729,0.6676,1.0192,0.7387,0.6636,62.1,
2026-04-02 08:12:27 UTC,xgb_ecfp4_aac,xgb_ecfp4_aac,tree,ecfp4_1024,aac_20,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0778,0.6546,0.5711,1.0523,0.7184,0.6399,2.5,
2026-04-02 08:13:14 UTC,xgb_ecfp6_kmer3,xgb_ecfp6_kmer3,tree,ecfp6_1024,kmer3_8000,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0437,0.6815,0.5988,1.0691,0.7073,0.6215,18.0,
2026-04-02 08:13:23 UTC,lgbm_ecfp4_aac,lgbm_ecfp4_aac,tree,ecfp4_1024,aac_20,concat,,,,,scaffold_bemis_murcko_seed42,17312,2673,4715,1.0861,0.648,0.5648,1.0528,0.7197,0.6395,5.8,
2026-04-02 08:13:58 UTC,mlp_shallow_ecfp4_aac,mlp_shallow_ecfp4_aac,mlp,ecfp4_1024,aac_20,concat,268546.0,71.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.3664,0.484,0.4355,1.3285,0.588,0.5301,30.6,
2026-04-02 08:14:26 UTC,mlp_medium_ecfp4_dipeptide,mlp_medium_ecfp4_dipeptide,mlp,ecfp4_1024,dipeptide_400,concat,895874.0,52.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1475,0.6369,0.5736,1.1082,0.7019,0.6183,23.9,
