model,n_train,seed,rmse,pearson_r,spearman_r,train_time_s
rf_ecfp4_aac,500,42,1.3543792626288709,0.4470139109917339,0.40858090780284584,1.6
rf_ecfp4_aac,500,123,1.385442994167503,0.4204608908988095,0.3972525194904395,1.4
rf_ecfp4_aac,500,456,1.3789651483582286,0.4129152465534597,0.384910787656375,1.5
rf_ecfp4_aac,1000,42,1.2945084015567034,0.5198283360647581,0.46849618811339233,2.5
rf_ecfp4_aac,1000,123,1.3157979589975866,0.49802205899077623,0.4398699404770898,2.6
rf_ecfp4_aac,1000,456,1.3176868818556116,0.49302618060025244,0.4568613878577055,2.6
rf_ecfp4_aac,2500,42,1.1995824173061624,0.6119695936618442,0.5455100955798325,6.4
rf_ecfp4_aac,2500,123,1.2067462134225015,0.6047576643351087,0.5373468042581061,6.3
rf_ecfp4_aac,2500,456,1.204649095804435,0.6070268932423568,0.5436718051307132,6.5
rf_ecfp4_aac,5000,42,1.118915076248413,0.6740427699515427,0.6051026714597149,14.2
rf_ecfp4_aac,5000,123,1.0976803767017624,0.6919904892461186,0.6217284378445023,13.9
rf_ecfp4_aac,5000,456,1.1208729145741398,0.6732449044866249,0.6064751152354995,14.0
rf_ecfp4_aac,10000,42,1.055920772260887,0.7172236519373748,0.6478380177389917,33.2
rf_ecfp4_aac,10000,123,1.053623286016442,0.7192063913403547,0.6521535800645972,32.0
rf_ecfp4_aac,10000,456,1.0561236638338265,0.7171784165971111,0.6437982977265646,33.4
rf_ecfp4_aac,17312,42,1.0043673903878096,0.7479983347264529,0.6752280193749487,65.9
rf_ecfp4_aac,17312,123,1.0052385844024625,0.7473938517265709,0.6758668949479754,66.1
rf_ecfp4_aac,17312,456,1.0053430482672665,0.7473926378473137,0.6751926261652119,65.9
mlp_chemberta_esm2_8M,500,42,1.4807415008544922,0.40302366401689943,0.36356081360627424,5.0
mlp_chemberta_esm2_8M,500,123,1.5790750980377197,0.35996987029829225,0.32079854523669676,4.4
mlp_chemberta_esm2_8M,500,456,1.4430100917816162,0.410933233603121,0.32692706283331957,4.6
mlp_chemberta_esm2_8M,1000,42,1.407570719718933,0.4661694836834626,0.41950693861081295,4.6
mlp_chemberta_esm2_8M,1000,123,1.5361260175704956,0.38498222831433293,0.3118523350042801,6.3
mlp_chemberta_esm2_8M,1000,456,1.3514902591705322,0.504541988769199,0.41906736770855396,5.4
mlp_chemberta_esm2_8M,2500,42,1.3459779024124146,0.5011629362162374,0.42167248225634646,12.4
mlp_chemberta_esm2_8M,2500,123,1.3436932563781738,0.5427513801115244,0.4611923971935799,18.6
mlp_chemberta_esm2_8M,2500,456,1.2938385009765625,0.5593450935411148,0.4723620592600227,25.2
mlp_chemberta_esm2_8M,5000,42,1.2943718433380127,0.5779757689117907,0.4996877070471743,50.1
mlp_chemberta_esm2_8M,5000,123,1.2461988925933838,0.6025601376055553,0.5385923598899973,49.7
mlp_chemberta_esm2_8M,5000,456,1.2923288345336914,0.5753069581836722,0.5161809331436358,46.2
mlp_chemberta_esm2_8M,10000,42,1.1854043006896973,0.6494494766338522,0.5820749375075946,97.6
mlp_chemberta_esm2_8M,10000,123,1.2068593502044678,0.6399947696757763,0.5726612611141015,103.4
mlp_chemberta_esm2_8M,10000,456,1.1843583583831787,0.6469610881084633,0.5755579751238141,97.7
mlp_chemberta_esm2_8M,17312,42,1.15889310836792,0.6715744799258804,0.5982842458379142,166.8
mlp_chemberta_esm2_8M,17312,123,1.1696079969406128,0.667604260642079,0.6047411266744839,162.1
mlp_chemberta_esm2_8M,17312,456,1.1533043384552002,0.6737230269873523,0.6036349940399788,163.9
mlp_chemberta_esm2_8M_ft3,500,42,1.565319538116455,0.3334259152241184,0.32587252235053094,3.7
mlp_chemberta_esm2_8M_ft3,500,123,1.5320402383804321,0.36480594069278943,0.32291159626905064,3.5
mlp_chemberta_esm2_8M_ft3,500,456,1.5647568702697754,0.3201755375661328,0.2514443412145044,3.3
mlp_chemberta_esm2_8M_ft3,1000,42,1.562483787536621,0.40560745152326205,0.3560145945197756,4.1
mlp_chemberta_esm2_8M_ft3,1000,123,1.5748279094696045,0.3081833889408421,0.2855519083873322,3.9
mlp_chemberta_esm2_8M_ft3,1000,456,1.3882217407226562,0.47985502726769713,0.4074464455714334,8.4
mlp_chemberta_esm2_8M_ft3,2500,42,1.3228949308395386,0.5367376762836593,0.4529609774047719,14.4
mlp_chemberta_esm2_8M_ft3,2500,123,1.3218376636505127,0.5479986133346295,0.4746072733837923,29.7
mlp_chemberta_esm2_8M_ft3,2500,456,1.3346490859985352,0.5209981583442964,0.4418495202401174,17.0
mlp_chemberta_esm2_8M_ft3,5000,42,1.2625868320465088,0.5928414515208242,0.5144175263372724,46.7
mlp_chemberta_esm2_8M_ft3,5000,123,1.2285317182540894,0.6142382089831613,0.5486722202011266,36.3
mlp_chemberta_esm2_8M_ft3,5000,456,1.2194406986236572,0.615514787503758,0.5502251736240917,30.6
mlp_chemberta_esm2_8M_ft3,10000,42,1.2066768407821655,0.6376226020193152,0.5685423715844626,99.9
mlp_chemberta_esm2_8M_ft3,10000,123,1.197774052619934,0.6403877222316348,0.565187522806658,102.2
mlp_chemberta_esm2_8M_ft3,10000,456,1.187017798423767,0.6504194165065311,0.5845750092315917,87.3
mlp_chemberta_esm2_8M_ft3,17312,42,1.118760108947754,0.6892313199637818,0.631921631000681,173.7
mlp_chemberta_esm2_8M_ft3,17312,123,1.1529144048690796,0.6722247910811621,0.6035768177496837,164.5
mlp_chemberta_esm2_8M_ft3,17312,456,1.131136178970337,0.6830066177666588,0.6241208571069465,162.1
