name,hidden,dropout,lr,seed,rmse,pearson_r,epochs,time_s
shallow,[256],0.2,0.0005,42,1.265104055404663,0.6177576818297099,100,117.8185544013977
shallow,[256],0.2,0.0005,123,1.2430940866470337,0.623408857502859,100,74.38872742652893
shallow,[256],0.2,0.0005,456,1.232221245765686,0.6259486516876431,100,70.04984593391418
medium,"[512, 256]",0.2,0.0005,42,1.153090238571167,0.677905678280674,100,92.96384978294373
medium,"[512, 256]",0.2,0.0005,123,1.178731083869934,0.6630778125225605,100,84.68370747566223
medium,"[512, 256]",0.2,0.0005,456,1.17377507686615,0.6659786119099198,100,84.31226468086243
deep,"[512, 256, 128]",0.2,0.0005,42,1.134482741355896,0.6831381104326903,100,107.57262992858887
deep,"[512, 256, 128]",0.2,0.0005,123,1.1665918827056885,0.666450952993961,100,103.81183409690857
deep,"[512, 256, 128]",0.2,0.0005,456,1.1226519346237183,0.6890069871381526,100,90.88850092887878
deep_hidrop,"[512, 256, 128]",0.5,0.0005,42,1.1514403820037842,0.6719711170885135,100,97.4058883190155
deep_hidrop,"[512, 256, 128]",0.5,0.0005,123,1.16946542263031,0.672440523807115,100,107.03347086906433
deep_hidrop,"[512, 256, 128]",0.5,0.0005,456,1.1525574922561646,0.674645555608879,100,199.51640629768372
deep_lowlr,"[512, 256, 128]",0.2,0.0001,42,1.1386407613754272,0.6783612445566913,100,413.088253736496
deep_lowlr,"[512, 256, 128]",0.2,0.0001,123,1.121624231338501,0.6850213099587936,100,688.7909696102142
deep_lowlr,"[512, 256, 128]",0.2,0.0001,456,1.1503268480300903,0.6724567342232821,100,690.5408391952515
