name,hidden,dropout,lr,seed,rmse,pearson_r,epochs,time_s
shallow,[256],0.2,0.0005,42,1.075659988428298,0.679619928650206,100,19.10889983177185
shallow,[256],0.2,0.0005,123,1.0663745581979567,0.67328194459976,100,18.794626712799072
shallow,[256],0.2,0.0005,456,1.0831782462299424,0.6824173255597398,100,18.753907918930054
medium,"[512, 256]",0.2,0.0005,42,1.0519548406916304,0.7045574186915783,100,17.711207628250122
medium,"[512, 256]",0.2,0.0005,123,1.0313952372609838,0.708174739396629,100,16.80558204650879
medium,"[512, 256]",0.2,0.0005,456,1.0316717268080684,0.7118688490250588,100,19.37333583831787
deep,"[512, 256, 128]",0.2,0.0005,42,1.023175096724321,0.7075109771329766,100,20.60188937187195
deep,"[512, 256, 128]",0.2,0.0005,123,1.0394293918932187,0.7036880291628381,100,19.28096294403076
deep,"[512, 256, 128]",0.2,0.0005,456,1.0684710065971756,0.6933757745100653,100,19.59574294090271
deep_hidrop,"[512, 256, 128]",0.5,0.0005,42,1.043243657717885,0.6863787810193771,100,19.474250316619873
deep_hidrop,"[512, 256, 128]",0.5,0.0005,123,1.039846998936187,0.6887583711189784,100,18.31925058364868
deep_hidrop,"[512, 256, 128]",0.5,0.0005,456,1.0135355069377427,0.710329080093839,100,22.041144847869873
deep_lowlr,"[512, 256, 128]",0.2,0.0001,42,1.0640158218698879,0.6853188263897139,100,23.01750946044922
deep_lowlr,"[512, 256, 128]",0.2,0.0001,123,1.0632051484106027,0.6908692600306157,100,22.759921312332153
deep_lowlr,"[512, 256, 128]",0.2,0.0001,456,1.0855307606327738,0.6857922066090927,100,23.302363395690918
