step,train_loss,val_rmse,val_pearson,test_rmse,test_pearson
200,1.8165,1.3032,0.485,1.2597,0.5154
400,1.6207,1.2624,0.5318,1.2198,0.5592
600,1.4829,1.2362,0.5623,1.1932,0.5867
800,1.4037,1.2179,0.5834,1.1758,0.6056
1000,1.442,1.2015,0.5991,1.1603,0.6241
1200,1.3253,1.1813,0.6143,1.1438,0.6352
1400,1.2447,1.1657,0.6241,1.1291,0.6408
1600,1.3028,1.1626,0.6341,1.1265,0.6533
1800,1.2479,1.1367,0.647,1.1007,0.663
2000,1.2679,1.1264,0.6551,1.091,0.6701
2200,1.1953,1.115,0.6634,1.0826,0.6764
2400,1.1242,1.1103,0.6687,1.0791,0.6822
2600,1.155,1.1083,0.6689,1.0767,0.681
2800,1.1355,1.1055,0.6774,1.0726,0.6936
3000,1.0973,1.087,0.6841,1.052,0.6984
3200,1.139,1.0837,0.6881,1.0498,0.7006
3400,1.0505,1.0843,0.6902,1.0498,0.7006
3600,1.0544,1.0729,0.694,1.0404,0.7065
3800,1.0765,1.0703,0.6973,1.0357,0.7118
4000,1.0311,1.0583,0.7044,1.0278,0.7153
4200,1.0644,1.058,0.7048,1.0279,0.7162
4400,0.9874,1.0523,0.7084,1.0217,0.7191
4600,0.9927,1.0487,0.7105,1.0202,0.72
4800,0.9845,1.0526,0.7086,1.0202,0.72
5000,0.9982,1.0553,0.7106,1.0202,0.72
