step,train_loss,val_rmse,val_pearson,test_rmse,test_pearson
200,1.8243,1.2522,0.4785,1.2949,0.5199
400,1.575,1.2174,0.5211,1.2827,0.5422
600,1.5438,1.201,0.5401,1.2607,0.5568
800,1.3268,1.1841,0.5571,1.2543,0.5642
1000,1.3587,1.1809,0.5641,1.2339,0.5855
1200,1.2981,1.174,0.5748,1.2184,0.5967
1400,1.2542,1.165,0.5801,1.2177,0.6002
1600,1.1902,1.1534,0.5918,1.2074,0.6066
1800,1.2258,1.1684,0.5808,1.2074,0.6066
2000,1.1936,1.1634,0.5954,1.2074,0.6066
2200,1.1717,1.1805,0.5771,1.2074,0.6066
2400,1.1107,1.1584,0.5947,1.2074,0.6066
2600,1.1213,1.1601,0.5916,1.2074,0.6066
2800,1.074,1.1607,0.5908,1.2074,0.6066
3000,1.1263,1.1727,0.5838,1.2074,0.6066
3200,1.0569,1.1736,0.5891,1.2074,0.6066
3400,1.0445,1.1782,0.5846,1.2074,0.6066
3600,1.0053,1.1718,0.5881,1.2074,0.6066
3800,1.0315,1.1688,0.5928,1.2074,0.6066
4000,0.9821,1.1881,0.5798,1.2074,0.6066
4200,0.9894,1.1821,0.5837,1.2074,0.6066
4400,0.9955,1.1674,0.5946,1.2074,0.6066
4600,0.9266,1.1856,0.5805,1.2074,0.6066
4800,0.9586,1.194,0.5833,1.2074,0.6066
5000,0.9534,1.1999,0.5787,1.2074,0.6066
