feature,importance
AAC_C,448
AAC_S,444
AAC_W,442
AAC_T,415
AAC_Y,406
AAC_G,392
AAC_V,391
AAC_F,389
AAC_L,384
AAC_D,381
AAC_M,378
AAC_I,378
AAC_H,374
AAC_P,359
AAC_A,355
AAC_R,351
AAC_Q,348
AAC_E,348
AAC_K,347
AAC_N,344
ECFP4_80,70
ECFP4_650,63
ECFP4_389,63
ECFP4_1088,62
ECFP4_875,57
ECFP4_1199,55
ECFP4_926,48
ECFP4_935,48
ECFP4_1152,47
ECFP4_1,47
ECFP4_1917,46
ECFP4_1019,43
ECFP4_695,43
ECFP4_1057,42
ECFP4_656,41
ECFP4_1452,40
ECFP4_1722,37
ECFP4_378,37
ECFP4_807,36
ECFP4_1855,34
ECFP4_1357,31
ECFP4_1114,30
ECFP4_1039,29
ECFP4_1750,27
ECFP4_1607,25
ECFP4_1683,24
ECFP4_1385,24
ECFP4_1171,23
ECFP4_1480,23
ECFP4_561,23
ECFP4_1866,22
ECFP4_1325,22
ECFP4_314,22
ECFP4_1143,21
ECFP4_1145,21
ECFP4_1928,21
ECFP4_1591,20
ECFP4_352,20
ECFP4_310,19
ECFP4_739,19
ECFP4_1911,19
ECFP4_1645,19
ECFP4_1160,19
ECFP4_1617,19
ECFP4_1535,18
ECFP4_1236,18
ECFP4_1834,18
ECFP4_197,18
ECFP4_1422,18
ECFP4_91,17
ECFP4_675,17
ECFP4_1380,17
ECFP4_114,17
ECFP4_1754,17
ECFP4_841,17
ECFP4_728,17
ECFP4_191,17
ECFP4_788,17
ECFP4_1077,17
ECFP4_878,16
ECFP4_366,16
ECFP4_1066,16
ECFP4_1747,16
ECFP4_1738,16
ECFP4_283,16
ECFP4_694,16
ECFP4_1844,16
ECFP4_1446,15
ECFP4_294,15
ECFP4_1037,15
ECFP4_222,15
ECFP4_1791,15
ECFP4_745,14
ECFP4_1413,14
ECFP4_1430,14
ECFP4_1367,14
ECFP4_13,14
ECFP4_1530,14
ECFP4_1914,14
ECFP4_661,14
ECFP4_89,14
ECFP4_1508,13
ECFP4_1384,13
ECFP4_1386,13
ECFP4_1309,13
ECFP4_911,13
ECFP4_1812,13
ECFP4_104,13
ECFP4_544,13
ECFP4_175,13
ECFP4_1060,13
ECFP4_1708,13
ECFP4_179,12
ECFP4_1539,12
ECFP4_1576,12
ECFP4_718,12
ECFP4_1707,12
ECFP4_1697,12
ECFP4_734,12
ECFP4_204,12
ECFP4_1593,12
ECFP4_552,12
ECFP4_407,12
ECFP4_1984,12
ECFP4_699,12
ECFP4_651,12
ECFP4_1249,12
ECFP4_896,12
ECFP4_684,12
ECFP4_1821,12
ECFP4_1104,12
ECFP4_976,12
ECFP4_669,11
ECFP4_74,11
ECFP4_750,11
ECFP4_1512,11
ECFP4_1840,11
ECFP4_1862,11
ECFP4_1012,11
ECFP4_1482,11
ECFP4_1097,11
ECFP4_1096,11
ECFP4_1017,11
ECFP4_392,11
ECFP4_802,11
ECFP4_79,11
ECFP4_843,11
ECFP4_1224,11
ECFP4_1457,11
ECFP4_869,11
ECFP4_1410,11
ECFP4_507,11
ECFP4_1338,11
ECFP4_1451,11
ECFP4_944,11
ECFP4_137,11
ECFP4_226,11
ECFP4_1817,11
ECFP4_1701,11
ECFP4_736,11
ECFP4_1837,11
ECFP4_450,11
ECFP4_974,10
ECFP4_11,10
ECFP4_1493,10
ECFP4_887,10
ECFP4_1573,10
ECFP4_192,10
ECFP4_1372,10
ECFP4_1553,10
ECFP4_360,10
ECFP4_447,10
ECFP4_1405,10
ECFP4_1536,10
ECFP4_1407,10
ECFP4_386,10
ECFP4_486,10
ECFP4_495,10
ECFP4_1740,10
ECFP4_38,10
ECFP4_128,10
ECFP4_1933,10
ECFP4_1724,10
ECFP4_1860,10
ECFP4_84,10
ECFP4_1195,9
ECFP4_411,9
ECFP4_1853,9
ECFP4_674,9
ECFP4_575,9
ECFP4_147,9
ECFP4_1732,9
ECFP4_733,9
ECFP4_979,9
ECFP4_1243,9
ECFP4_749,9
ECFP4_491,9
ECFP4_237,9
ECFP4_519,9
ECFP4_243,9
ECFP4_2007,9
ECFP4_1292,9
ECFP4_708,9
ECFP4_1328,9
ECFP4_890,9
ECFP4_681,9
ECFP4_1784,9
ECFP4_1873,9
ECFP4_798,9
ECFP4_1783,9
ECFP4_771,9
ECFP4_1970,9
ECFP4_1067,9
ECFP4_1602,9
ECFP4_1050,9
ECFP4_1920,9
ECFP4_1615,9
ECFP4_1107,9
ECFP4_588,9
ECFP4_476,9
ECFP4_1549,9
ECFP4_803,9
ECFP4_1028,9
ECFP4_1032,9
ECFP4_768,9
ECFP4_635,8
ECFP4_914,8
ECFP4_1349,8
ECFP4_14,8
ECFP4_1027,8
ECFP4_1048,8
ECFP4_2009,8
ECFP4_1293,8
ECFP4_1335,8
ECFP4_94,8
ECFP4_1600,8
ECFP4_2,8
ECFP4_1261,8
