feature,importance
ECFP4_1234,0.016958006
ECFP4_764,0.016861496
ECFP4_1601,0.009957015
ECFP4_1494,0.009649579
ECFP4_1288,0.008840612
ECFP4_1689,0.008829978
ECFP4_454,0.008280362
ECFP4_2011,0.0075571625
ECFP4_1764,0.007442489
ECFP4_1176,0.0072382833
ECFP4_999,0.007215461
ECFP4_1386,0.0070604077
ECFP4_1929,0.0064455387
ECFP4_1823,0.0063525005
ECFP4_833,0.0061026267
ECFP4_1107,0.0060540745
ECFP4_1744,0.005957337
ECFP4_1992,0.005676748
ECFP4_2008,0.0056762975
ECFP4_1718,0.005221146
ECFP4_1407,0.004983273
ECFP4_1467,0.004792254
ECFP4_580,0.00473045
ECFP4_610,0.004560731
ECFP4_1747,0.004522344
ECFP4_597,0.004054405
ECFP4_1303,0.0040017497
ECFP4_936,0.0038471043
ECFP4_1739,0.0038367067
ECFP4_926,0.0037953258
ECFP4_391,0.0037754916
ECFP4_796,0.003768887
ECFP4_1909,0.0037429938
ECFP4_1392,0.003708452
ECFP4_844,0.003703674
ECFP4_412,0.0036626458
ECFP4_1403,0.0035780321
ECFP4_1576,0.003452799
ECFP4_1153,0.0033787414
ECFP4_934,0.0033604098
ECFP4_1158,0.003244993
ECFP4_444,0.0031948134
ECFP4_1946,0.003191556
ECFP4_1099,0.0031243544
ECFP4_1803,0.002955908
ECFP4_1484,0.0029494464
ECFP4_340,0.002921109
ECFP4_1338,0.0029110874
ECFP4_1446,0.002902998
ECFP4_1271,0.0028934176
ECFP4_408,0.0028198601
ECFP4_1935,0.002799396
ECFP4_1390,0.0027575637
ECFP4_219,0.0026890256
ECFP4_901,0.0026692194
ECFP4_1554,0.0025541917
ECFP4_1427,0.0024985105
ECFP4_1678,0.0024735422
ECFP4_2034,0.0024655475
ECFP4_1866,0.0023972637
ECFP4_1000,0.002386258
ECFP4_1598,0.0023743925
ECFP4_1475,0.002353385
ECFP4_208,0.0023293104
ECFP4_1912,0.0023186272
ECFP4_1695,0.0023140768
ECFP4_1449,0.0023073002
ECFP4_607,0.0022917364
ECFP4_1578,0.002286816
ECFP4_1848,0.0022806923
ECFP4_1733,0.0022678664
ECFP4_547,0.0022588396
ECFP4_465,0.0022383053
ECFP4_1489,0.0021595173
ECFP4_1415,0.0021489195
ECFP4_1817,0.0021337073
ECFP4_949,0.002131391
ECFP4_994,0.0021256567
ECFP4_360,0.002069936
ECFP4_1380,0.0020596066
ECFP4_982,0.0020541132
ECFP4_1607,0.0020463055
ECFP4_1993,0.002023841
ECFP4_1101,0.001991079
ECFP4_979,0.001988359
ECFP4_1036,0.0019634757
ECFP4_529,0.0019488595
ECFP4_1274,0.0019459926
ECFP4_97,0.0019451142
ECFP4_424,0.0019337353
ECFP4_1965,0.0019270332
ECFP4_1699,0.0018908732
ECFP4_1692,0.0018297223
ECFP4_661,0.0018127698
ECFP4_634,0.0017721758
ECFP4_1126,0.0017655353
ECFP4_1537,0.001762011
ECFP4_1563,0.0017552081
ECFP4_1693,0.0017518804
ECFP4_972,0.0017357005
ECFP4_1381,0.0017158781
ECFP4_1838,0.00169104
ECFP4_1347,0.0016867187
ECFP4_843,0.0016754505
ECFP4_91,0.0016751953
ECFP4_1242,0.001673935
ECFP4_1081,0.0016674123
ECFP4_1455,0.001637289
ECFP4_1696,0.0016301089
ECFP4_1958,0.0015936242
ECFP4_2037,0.001589235
ECFP4_732,0.0015813974
ECFP4_1644,0.0015746708
ECFP4_530,0.0015728397
ECFP4_1955,0.0015588443
ECFP4_750,0.0015546782
ECFP4_1815,0.001540284
ECFP4_1373,0.0015362685
ECFP4_1920,0.0015167968
ECFP4_1330,0.0015070393
ECFP4_1666,0.0015047684
ECFP4_1157,0.0014987028
ECFP4_459,0.0014904808
ECFP4_1309,0.0014778159
ECFP4_437,0.0014660485
ECFP4_505,0.0014642632
ECFP4_1609,0.0014593701
ECFP4_1994,0.0014399312
ECFP4_519,0.0014323428
ECFP4_1328,0.0014092299
ECFP4_899,0.0014081154
ECFP4_127,0.0013886836
ECFP4_1903,0.0013826801
ECFP4_1463,0.0013720596
ECFP4_937,0.0013657854
ECFP4_1811,0.0013615951
ECFP4_961,0.0013488722
ECFP4_1077,0.0013454432
ECFP4_1213,0.001338433
AAC_S,0.001337593
ECFP4_1879,0.0013209977
ECFP4_1314,0.0013206005
ECFP4_1878,0.0013014427
ECFP4_100,0.0012830142
ECFP4_1141,0.0012738176
ECFP4_681,0.0012736431
ECFP4_512,0.0012555304
ECFP4_575,0.0012414807
ECFP4_1681,0.001240451
ECFP4_1353,0.0012369802
ECFP4_615,0.0012342237
ECFP4_32,0.0012339127
ECFP4_1208,0.0012326491
ECFP4_1727,0.0012242054
ECFP4_1982,0.0012208198
ECFP4_1451,0.0012193318
ECFP4_1665,0.001211239
ECFP4_1810,0.0012112064
ECFP4_1302,0.0012091481
ECFP4_864,0.001207599
ECFP4_1593,0.001192678
ECFP4_407,0.0011867806
ECFP4_1261,0.0011840952
ECFP4_1618,0.0011716208
ECFP4_1048,0.0011710257
ECFP4_1586,0.0011645675
ECFP4_1857,0.0011644608
ECFP4_1162,0.001155418
ECFP4_1490,0.0011554004
ECFP4_1521,0.0011516002
ECFP4_1231,0.0011489328
ECFP4_1717,0.0011485984
ECFP4_1114,0.0011352529
ECFP4_1716,0.0011245991
ECFP4_1323,0.0011226763
ECFP4_1296,0.0011215622
ECFP4_873,0.0011193423
ECFP4_1657,0.0011178912
ECFP4_222,0.001108685
ECFP4_689,0.0011059804
ECFP4_2010,0.0011043528
ECFP4_739,0.0010895854
ECFP4_1440,0.0010840523
ECFP4_1721,0.0010786924
ECFP4_1664,0.001073228
ECFP4_1264,0.0010713916
ECFP4_800,0.0010699709
ECFP4_1915,0.001068811
ECFP4_1119,0.0010586071
ECFP4_1135,0.0010583134
ECFP4_104,0.0010567995
ECFP4_1956,0.001051192
ECFP4_655,0.0010487087
ECFP4_1312,0.0010452685
ECFP4_1452,0.0010399931
ECFP4_245,0.001039458
ECFP4_524,0.0010374694
ECFP4_875,0.001037088
ECFP4_741,0.0010316332
ECFP4_1542,0.0010311389
ECFP4_1116,0.0010240353
ECFP4_541,0.0010239151
ECFP4_1034,0.0010218115
ECFP4_558,0.0010139764
ECFP4_1941,0.0010122149
ECFP4_430,0.0010098142
ECFP4_1854,0.001004625
ECFP4_585,0.0010037641
ECFP4_392,0.0010018359
ECFP4_383,0.0010008772
ECFP4_641,0.0009995198
ECFP4_1372,0.0009964377
ECFP4_980,0.0009963164
ECFP4_263,0.0009921135
ECFP4_993,0.0009884418
ECFP4_218,0.000983931
ECFP4_813,0.0009822018
ECFP4_1462,0.0009770545
ECFP4_963,0.000967409
ECFP4_1370,0.00095971784
ECFP4_1425,0.0009595669
ECFP4_1357,0.0009532383
ECFP4_1169,0.00095256045
ECFP4_447,0.0009499488
ECFP4_1454,0.00094979216
ECFP4_35,0.00094533636
ECFP4_1829,0.00094477553
AAC_C,0.0009388996
ECFP4_1420,0.00093853526
ECFP4_428,0.0009344211
ECFP4_1934,0.0009283768
ECFP4_2004,0.0009283153
ECFP4_542,0.00092752796
ECFP4_1948,0.00092437473
ECFP4_1761,0.0009238865
ECFP4_1819,0.0009236892
ECFP4_1921,0.0009225323
ECFP4_480,0.0009222137
ECFP4_1600,0.0009214916
ECFP4_1115,0.0009212884
ECFP4_1493,0.0009196353
ECFP4_1632,0.0009179489
ECFP4_935,0.0009166056
ECFP4_1027,0.00091361534
ECFP4_1020,0.0009101287
ECFP4_1512,0.00090941344
ECFP4_902,0.00090850866
ECFP4_920,0.00090140646
ECFP4_787,0.0008868619
ECFP4_1356,0.0008825326
ECFP4_857,0.00087530963
ECFP4_1792,0.00087398227
ECFP4_1470,0.0008703984
ECFP4_904,0.00086967944
AAC_L,0.00086889614
ECFP4_1329,0.00086861063
ECFP4_1972,0.00086779793
ECFP4_1138,0.00085580506
ECFP4_1748,0.0008537691
ECFP4_427,0.00085212075
ECFP4_533,0.000852019
AAC_D,0.0008517282
ECFP4_711,0.0008510843
ECFP4_721,0.00084920647
ECFP4_272,0.00084896665
ECFP4_1012,0.0008487463
ECFP4_644,0.0008482325
ECFP4_1166,0.00084629544
AAC_M,0.0008456734
ECFP4_1539,0.00084508274
ECFP4_83,0.00084028085
ECFP4_1842,0.0008388063
ECFP4_1174,0.00083559746
AAC_G,0.00083557004
ECFP4_569,0.0008346521
ECFP4_1285,0.0008340645
ECFP4_74,0.0008304356
ECFP4_1226,0.0008289564
ECFP4_1086,0.00082833384
ECFP4_626,0.0008227678
ECFP4_1617,0.0008187511
ECFP4_1732,0.0008168976
ECFP4_179,0.00081659417
ECFP4_792,0.00081635284
ECFP4_771,0.00081039156
ECFP4_310,0.00081014633
ECFP4_729,0.00080685335
ECFP4_357,0.0008019637
ECFP4_1988,0.00080160866
ECFP4_887,0.0007986783
ECFP4_305,0.0007976562
ECFP4_1967,0.0007966111
ECFP4_722,0.00079615245
ECFP4_2042,0.00079522707
ECFP4_1301,0.000791781
ECFP4_490,0.0007917694
AAC_W,0.00079097366
ECFP4_647,0.0007843257
ECFP4_1622,0.0007790358
ECFP4_1413,0.00077749963
ECFP4_1970,0.0007768532
ECFP4_769,0.00077400054
ECFP4_874,0.00077357504
ECFP4_1243,0.0007733446
ECFP4_1634,0.0007730609
ECFP4_256,0.00076855323
ECFP4_848,0.0007629345
ECFP4_827,0.00076256826
ECFP4_1535,0.000761128
ECFP4_1376,0.0007560278
ECFP4_835,0.00075144094
ECFP4_1809,0.000748706
ECFP4_288,0.00074390887
ECFP4_1768,0.00074388675
ECFP4_1591,0.00074255216
ECFP4_1401,0.0007393336
ECFP4_791,0.00073699414
ECFP4_802,0.00073611055
ECFP4_1362,0.0007336956
ECFP4_1655,0.0007329287
ECFP4_673,0.0007320807
ECFP4_1430,0.0007291796
ECFP4_1123,0.0007285539
ECFP4_1509,0.00072813843
ECFP4_806,0.0007274595
ECFP4_1508,0.00072645093
ECFP4_181,0.00072616874
ECFP4_1821,0.00072312966
ECFP4_251,0.0007222167
ECFP4_1060,0.0007210891
ECFP4_840,0.0007146179
ECFP4_1661,0.0007143029
AAC_Y,0.0007139066
ECFP4_1772,0.00070987496
AAC_Q,0.0007088031
ECFP4_1855,0.00070822285
ECFP4_841,0.00070485164
ECFP4_1059,0.0007038674
ECFP4_894,0.0007018526
ECFP4_789,0.00069800485
ECFP4_798,0.0006962733
ECFP4_1844,0.00069427415
ECFP4_1796,0.0006914162
ECFP4_879,0.0006839077
ECFP4_1406,0.0006830799
ECFP4_714,0.00068214873
ECFP4_1181,0.0006820073
ECFP4_1880,0.0006798713
ECFP4_1922,0.0006692952
AAC_F,0.00066899427
ECFP4_966,0.0006682722
ECFP4_1014,0.0006663141
ECFP4_1707,0.00066592125
ECFP4_1897,0.00066501787
ECFP4_1131,0.0006635757
ECFP4_1502,0.00066043437
ECFP4_1671,0.0006566852
ECFP4_1339,0.0006561804
ECFP4_1245,0.0006545268
AAC_R,0.0006521034
ECFP4_2002,0.0006514359
ECFP4_1536,0.0006509226
ECFP4_1412,0.0006503603
ECFP4_1233,0.0006497744
ECFP4_1102,0.0006479611
ECFP4_1137,0.0006477515
ECFP4_1190,0.0006477257
AAC_P,0.0006471343
ECFP4_824,0.00064316875
ECFP4_1258,0.0006391136
ECFP4_1464,0.0006367586
ECFP4_333,0.0006355871
ECFP4_1917,0.00063512556
ECFP4_2000,0.0006351219
ECFP4_478,0.0006343141
ECFP4_1766,0.0006314491
ECFP4_1683,0.0006304619
ECFP4_2006,0.00062880135
ECFP4_1984,0.00062812463
ECFP4_2005,0.00062376563
ECFP4_794,0.0006225588
AAC_T,0.00061863917
AAC_H,0.0006168298
ECFP4_1933,0.0006156032
ECFP4_1367,0.00061558274
ECFP4_1033,0.00061406405
ECFP4_1808,0.00061191054
ECFP4_747,0.00061176927
ECFP4_1028,0.0006116752
ECFP4_192,0.00061044353
ECFP4_795,0.0006103791
ECFP4_976,0.0006092673
ECFP4_699,0.00060653937
ECFP4_1944,0.00060527946
ECFP4_1728,0.00060456485
