model_id,label,category,activity_threshold,top_percentile,top_n,n_actives_found,enrichment_factor,observed_rate
rf_ecfp4_aac,RF + ECFP4 + AAC,tree_best,6.0,1,47,47,1.702,1.0
rf_ecfp4_aac,RF + ECFP4 + AAC,tree_best,6.0,5,235,235,1.702,1.0
rf_ecfp4_aac,RF + ECFP4 + AAC,tree_best,6.0,10,471,454,1.641,0.9639
xgb_ecfp4_aac,XGBoost + ECFP4 + AAC,tree,6.0,1,47,47,1.702,1.0
xgb_ecfp4_aac,XGBoost + ECFP4 + AAC,tree,6.0,5,235,235,1.702,1.0
xgb_ecfp4_aac,XGBoost + ECFP4 + AAC,tree,6.0,10,471,461,1.666,0.9788
lgbm_ecfp4_aac,LightGBM + ECFP4 + AAC,tree,6.0,1,47,47,1.702,1.0
lgbm_ecfp4_aac,LightGBM + ECFP4 + AAC,tree,6.0,5,235,234,1.695,0.9957
lgbm_ecfp4_aac,LightGBM + ECFP4 + AAC,tree,6.0,10,471,463,1.673,0.983
mlp_chemberta_esm2_8M,MLP + ChemBERTa-5M + ESM-2-8M,dl,6.0,1,47,43,1.557,0.9149
mlp_chemberta_esm2_8M,MLP + ChemBERTa-5M + ESM-2-8M,dl,6.0,5,235,214,1.55,0.9106
mlp_chemberta_esm2_8M,MLP + ChemBERTa-5M + ESM-2-8M,dl,6.0,10,471,406,1.467,0.862
xgb_chemberta_5M_esm2_650M,XGBoost + ChemBERTa + ESM-2-650M,tree_pretrained,6.0,1,47,47,1.702,1.0
xgb_chemberta_5M_esm2_650M,XGBoost + ChemBERTa + ESM-2-650M,tree_pretrained,6.0,5,235,233,1.688,0.9915
xgb_chemberta_5M_esm2_650M,XGBoost + ChemBERTa + ESM-2-650M,tree_pretrained,6.0,10,471,459,1.659,0.9745
bica_chemberta_esm2_8M,BiCA + ChemBERTa + ESM-2-8M,dl,6.0,1,47,45,1.63,0.9574
bica_chemberta_esm2_8M,BiCA + ChemBERTa + ESM-2-8M,dl,6.0,5,235,221,1.601,0.9404
bica_chemberta_esm2_8M,BiCA + ChemBERTa + ESM-2-8M,dl,6.0,10,471,430,1.554,0.913
rf_ecfp4_aac,RF + ECFP4 + AAC,tree_best,7.0,1,47,47,3.182,1.0
rf_ecfp4_aac,RF + ECFP4 + AAC,tree_best,7.0,5,235,231,3.127,0.983
rf_ecfp4_aac,RF + ECFP4 + AAC,tree_best,7.0,10,471,419,2.83,0.8896
xgb_ecfp4_aac,XGBoost + ECFP4 + AAC,tree,7.0,1,47,46,3.114,0.9787
xgb_ecfp4_aac,XGBoost + ECFP4 + AAC,tree,7.0,5,235,230,3.114,0.9787
xgb_ecfp4_aac,XGBoost + ECFP4 + AAC,tree,7.0,10,471,403,2.722,0.8556
lgbm_ecfp4_aac,LightGBM + ECFP4 + AAC,tree,7.0,1,47,46,3.114,0.9787
lgbm_ecfp4_aac,LightGBM + ECFP4 + AAC,tree,7.0,5,235,230,3.114,0.9787
lgbm_ecfp4_aac,LightGBM + ECFP4 + AAC,tree,7.0,10,471,406,2.742,0.862
mlp_chemberta_esm2_8M,MLP + ChemBERTa-5M + ESM-2-8M,dl,7.0,1,47,41,2.775,0.8723
mlp_chemberta_esm2_8M,MLP + ChemBERTa-5M + ESM-2-8M,dl,7.0,5,235,180,2.437,0.766
mlp_chemberta_esm2_8M,MLP + ChemBERTa-5M + ESM-2-8M,dl,7.0,10,471,327,2.209,0.6943
xgb_chemberta_5M_esm2_650M,XGBoost + ChemBERTa + ESM-2-650M,tree_pretrained,7.0,1,47,46,3.114,0.9787
xgb_chemberta_5M_esm2_650M,XGBoost + ChemBERTa + ESM-2-650M,tree_pretrained,7.0,5,235,222,3.006,0.9447
xgb_chemberta_5M_esm2_650M,XGBoost + ChemBERTa + ESM-2-650M,tree_pretrained,7.0,10,471,414,2.796,0.879
bica_chemberta_esm2_8M,BiCA + ChemBERTa + ESM-2-8M,dl,7.0,1,47,43,2.911,0.9149
bica_chemberta_esm2_8M,BiCA + ChemBERTa + ESM-2-8M,dl,7.0,5,235,188,2.545,0.8
bica_chemberta_esm2_8M,BiCA + ChemBERTa + ESM-2-8M,dl,7.0,10,471,343,2.317,0.7282
