compound_index,true_pkd,rf_rank,rf_pred,dl_rank,dl_pred,delta_rank
0,6.999566,1703,6.617972,1207,7.1468306,496
1,8.21467,706,7.375315,1169,7.185009,-463
2,8.508638,1908,6.529725,1480,6.9304647,428
3,3.436519,4606,3.8470314,4609,3.339052,-3
4,3.3187587,4629,3.687035,4606,3.351928,23
5,2.9586072,4652,3.4982784,4610,3.302061,42
6,3.6020598,4580,3.957184,4073,5.109954,507
7,6.359896,2272,6.397839,858,7.5863132,1414
8,5.0861807,1666,6.628868,1329,7.038598,337
9,4.7958775,1092,6.957433,40,8.788278,1052
10,6.2217765,3906,5.581772,3030,5.9474573,876
11,5.4685082,4152,5.1133103,3639,5.6288786,513
12,4.698968,3907,5.581772,3031,5.9474573,876
13,4.744725,4215,4.9840407,3727,5.576384,488
14,9.30103,857,7.179752,753,7.750251,104
15,5.5228643,4110,5.1924205,4077,5.106917,33
16,9.39794,1148,6.921385,715,7.7928896,433
17,3.8239086,4502,4.2698236,4680,2.6335669,-178
18,3.3233063,4500,4.272194,3932,5.339962,568
19,3.294992,4501,4.272194,3933,5.339962,568
20,6.3299026,3784,5.741792,3589,5.6530237,195
21,7.717831,3919,5.564054,2559,6.221676,1360
22,3.632644,4225,4.9636893,4372,4.295943,-147
23,4.55284,4395,4.5827293,4310,4.514422,85
24,5.7212234,1770,6.5905824,3875,5.4230556,-2105
25,5.9585676,411,7.7817616,2200,6.411678,-1789
26,8.481486,676,7.405389,2310,6.3392954,-1634
27,6.7444863,675,7.405389,2309,6.3392954,-1634
28,8.853872,674,7.405389,2316,6.3392954,-1642
29,7.636388,682,7.405389,2311,6.3392954,-1629
30,6.167427,2000,6.497628,3904,5.378082,-1904
31,7.266803,410,7.7817616,2197,6.411678,-1787
32,7.850781,715,7.3523264,3075,5.925582,-2360
33,8.420217,679,7.405389,2314,6.3392954,-1635
34,6.38711,681,7.405389,2313,6.3392954,-1632
35,6.2005906,2389,6.359661,3518,5.699303,-1129
36,5.346778,413,7.7817616,2199,6.411678,-1786
37,7.8827286,677,7.405389,2317,6.3392954,-1640
38,8.008774,1203,6.8948812,2602,6.2013636,-1399
39,6.0409107,1999,6.497628,3906,5.378082,-1907
40,5.638253,1221,6.888831,3976,5.2871466,-2755
41,5.1135035,1998,6.497628,3911,5.378082,-1913
42,5.58501,1226,6.888831,3978,5.2871466,-2752
43,5.420205,1224,6.888831,3977,5.2871466,-2753
44,5.408924,1220,6.888831,3966,5.2871466,-2746
45,6.3097153,2136,6.4442196,4009,5.225708,-1873
46,5.420205,409,7.7817616,2196,6.411678,-1787
47,5.3565373,2385,6.3612065,3807,5.49415,-1422
48,5.886023,1225,6.888831,3968,5.2871466,-2743
49,6.0176835,1218,6.888831,3969,5.2871466,-2751
50,5.397929,2001,6.497628,3905,5.378082,-1904
51,6.65738,2026,6.4875317,3653,5.617442,-1627
52,6.1738605,1997,6.497628,3903,5.378082,-1906
53,5.853841,1996,6.497628,3908,5.378082,-1912
54,5.1487355,1222,6.888831,3971,5.2871466,-2749
55,5.346778,1993,6.497628,3907,5.378082,-1914
56,7.1481304,408,7.7817616,2201,6.411678,-1793
57,7.3458233,414,7.7817616,2202,6.411678,-1788
58,7.551294,2390,6.359661,3517,5.699303,-1127
59,7.386158,680,7.405389,2315,6.3392954,-1635
60,7.821023,1219,6.888831,3974,5.2871466,-2755
61,7.636388,1213,6.888831,3967,5.2871466,-2754
62,7.9172144,1215,6.888831,3970,5.2871466,-2755
63,7.407823,1217,6.888831,3972,5.2871466,-2755
64,7.3458233,1223,6.888831,3965,5.2871466,-2742
