model,n,rmse,rmse_ci_low,rmse_ci_high,r_ci_low,r_ci_high
rf_ecfp4_aac__cold_drug,4939,0.92305535,0.9006682813167572,0.9451870679855346,0.7511538783798347,0.7790432969397888
xgb_ecfp4_aac__cold_drug,4939,0.9717442,0.9512773916125298,0.9936419039964676,0.7226682413463918,0.7514142219120037
bica_v2_chemberta77M_tokens__cold_drug,4939,0.9890701,0.9643448501825332,1.0162304013967514,0.7112588191354589,0.7452409827127442
mlp_chemberta_esm2_8M__cold_drug,4939,1.003577,0.9792055428028107,1.026669579744339,0.7072733476073461,0.7394316393345937
rf_ecfp4_aac,4715,1.0065142,0.9796729326248169,1.0304098397493362,0.7299855055895883,0.7624236636020917
rf_ecfp4_dipeptide,4715,1.0191966,0.9901490017771721,1.0486816376447679,0.7223197570284376,0.7543725715092346
xgb_chemberta_5M_esm2_650M,4715,1.0433551,1.01775980591774,1.0707858741283416,0.7070563880581516,0.7413934531975711
xgb_chemberta_5M_esm2_35M_480,4715,1.047313,1.0226548254489898,1.0736845850944519,0.7058235691177479,0.7376862718366464
xgb_ecfp4_esm2_8M,4715,1.0483239,1.0230214536190032,1.0746922254562379,0.7037343560365172,0.7370151313840992
xgb_ecfp4_esm2_8M__seed456,4837,1.0509938,1.0261329382658004,1.0738680690526963,0.6737217769192361,0.7087212765351243
rf_ecfp4_aac__seed456,4837,1.0516485,1.0271120876073838,1.075696375966072,0.6763731450375541,0.7109441713760883
xgb_chemberta_600_esm2_650M,4715,1.0521662,1.0254123002290725,1.0771173626184463,0.701532860965006,0.7347010396382433
xgb_ecfp4_aac,4715,1.0523397,1.027379322052002,1.0778113186359406,0.700570007713236,0.7348050458045323
lgbm_ecfp4_aac,4715,1.0528293,1.028056487441063,1.0795583546161651,0.7022214502129889,0.7361560241691224
xgb_chemberta_5M_esm2_8M_320,4715,1.0554404,1.0317366659641265,1.0821345686912536,0.7004988723086901,0.7326769094044961
bica_v2_hybrid_nature,4715,1.0557398,1.0289354622364044,1.0847637355327606,0.6985278780384945,0.7347303511848956
xgb_chemberta_5M_prot_electra_256,4715,1.0565532,1.0306791216135025,1.082443255186081,0.6973756064559105,0.7302858670534277
xgb_chemberta_600_esm2_35M_480,4715,1.0577205,1.0313114941120147,1.0834330022335052,0.6970508444540072,0.7314061644089868
xgb_chemberta_600_prot_electra_256,4715,1.0579747,1.0331480115652085,1.0848397612571716,0.6978546529663764,0.7312150156128756
xgb_chemberta_prot_electra,4715,1.0579747,1.0311816871166228,1.0826747596263886,0.6972641274774775,0.7296839797059376
xgb_chemberta_5M_esm2_150M,4715,1.0587113,1.0332395792007447,1.0863276839256286,0.6979369563327646,0.7305326397459756
xgb_chemberta_5M_esmc_300M,4715,1.0599234,1.033332771062851,1.0847382724285126,0.696913492157859,0.7298983059276563
xgb_chemberta_600_esmc_300M,4715,1.0626612,1.0372889935970306,1.0874739557504653,0.6939016963175236,0.7280205920232632
bica_v2_chemberta77M_tokens__seed456,4837,1.064973,1.0416672497987747,1.0897502839565276,0.6574728703976505,0.6935381453027175
xgb_chemberta_77M_esm2_650M,4715,1.066099,1.041312175989151,1.091216081380844,0.6931699146321452,0.7273284922126552
xgb_chemberta_100M_esm2_650M,4715,1.0661995,1.0429473608732223,1.0916244238615036,0.6921159442717212,0.7248820215798835
xgb_chemberta_600_esm2_8M_320,4715,1.0670179,1.0417270421981812,1.0929955899715424,0.6921647877907714,0.7252654828599487
xgb_chemberta_esm2_8M,4715,1.0670179,1.0429639846086503,1.0922841370105743,0.6928377272818929,0.726284253532335
bica_chemberta_esm2_8M__cold_drug,4939,1.0671972,1.0394204795360564,1.0931427299976348,0.6601373675475931,0.6984652153825017
xgb_chemberta_600_kmer3_8000,4715,1.0687051,1.0425969123840333,1.0948934584856034,0.6890462536833024,0.7232434041035956
xgb_ecfp6_kmer3,4715,1.069087,1.044297730922699,1.0946172833442689,0.6898229605448891,0.7245505606594227
xgb_ecfp6_1024_kmer3_8000,4715,1.069087,1.0439596265554427,1.096316745877266,0.6895098007707738,0.7242353230536074
xgb_chemberta_esm2_8M__seed456,4837,1.0692829,1.0436141431331634,1.091488888859749,0.6567335411236817,0.6935857493638885
xgb_chemberta_600_esm2_150M,4715,1.0694227,1.0440762639045715,1.0945402950048446,0.6901242028539981,0.7242728282738802
xgb_chemberta_100M_esmc_300M,4715,1.0716192,1.0473890751600266,1.098780333995819,0.6883626303783896,0.7220066703711229
xgb_chemberta_100M_esm2_35M_480,4715,1.0716629,1.0469650149345398,1.0948118180036546,0.6888001321638798,0.721979501817836
xgb_chemberta_100M_esm2_8M_320,4715,1.0718318,1.0487013429403305,1.094322407245636,0.6885384713489726,0.7224011783403942
xgb_chemberta_77M_esm2_8M_320,4715,1.072184,1.0470380306243896,1.1002873867750167,0.6874333935352525,0.7220319528063158
xgb_ecfp6_1024_prot_electra_256,4715,1.0725726,1.0458164811134338,1.1014756470918656,0.6881686428818445,0.7219436853087526
rf_ecfp4_aac__seed123,4925,1.0727942,1.0462096631526947,1.0993391633033753,0.6644245657445168,0.6996574451524152
