feats,seed,rmse,pearson_r,dim,time_s
ECFP4_only,42,1.202088076258704,0.6082989590032891,1024,89.16289687156677
ECFP4_only,123,1.193933261854663,0.6155630745860838,1024,85.91763544082642
ECFP4_only,456,1.1973248487554276,0.6128001713127711,1024,91.36162281036377
AAC_only,42,1.2729855803022843,0.5498323804794415,20,2.834038019180298
AAC_only,123,1.2732672890985721,0.5492512245381576,20,2.130220651626587
AAC_only,456,1.2746202313539536,0.5481642466885568,20,1.9570066928863525
ECFP4+AAC,42,1.0054500822554193,0.7473400952086641,1044,60.96101903915405
ECFP4+AAC,123,1.0067863649242101,0.7464416734698552,1044,56.759602785110474
ECFP4+AAC,456,1.0053917386175797,0.7474347403778523,1044,50.16770148277283
ECFP4+ESM2,42,1.0131688042196703,0.7421625145688754,1344,154.78489422798157
ECFP4+ESM2,123,1.0128364135113332,0.7423903358781307,1344,151.00773811340332
ECFP4+ESM2,456,1.0140829942355407,0.7415883285973818,1344,145.74530410766602
