epoch,model,train_rmse,val_rmse
1,deep,3.6112,3.3116
2,deep,1.2438,1.0786
3,deep,1.0892,0.9971
4,deep,1.0675,1.0575
5,deep,1.0204,1.0377
6,deep,0.9589,0.9692
7,deep,0.9463,1.0896
8,deep,0.9165,1.024
9,deep,0.881,0.9328
10,deep,0.8861,0.9489
11,deep,0.8536,0.9092
12,deep,0.8468,0.9306
13,deep,0.8593,0.921
14,deep,0.8438,0.9083
15,deep,0.8329,0.9513
16,deep,0.8218,0.9052
17,deep,0.8342,0.9787
18,deep,0.832,1.1342
19,deep,0.7851,0.8942
20,deep,0.7916,0.8652
21,deep,0.7833,0.9276
22,deep,0.7922,0.8645
23,deep,0.7842,1.0176
24,deep,0.7719,0.8522
25,deep,0.753,0.8529
26,deep,0.7637,0.855
27,deep,0.7326,0.8458
28,deep,0.7428,0.8736
29,deep,0.7559,0.9651
30,deep,0.7359,0.8407
31,deep,0.7249,0.964
32,deep,0.7135,0.8405
33,deep,0.717,0.8828
34,deep,0.712,0.8521
35,deep,0.7068,0.8238
36,deep,0.7065,0.9085
37,deep,0.7157,0.8173
38,deep,0.6984,0.8261
39,deep,0.6894,0.8103
40,deep,0.6977,0.8432
41,deep,0.7092,0.8045
42,deep,0.693,0.7997
43,deep,0.6798,0.8163
44,deep,0.6741,0.7926
45,deep,0.6957,0.7923
46,deep,0.671,0.7905
47,deep,0.6921,0.8768
48,deep,0.6622,0.7931
49,deep,0.6588,0.7902
50,deep,0.657,0.7737
51,deep,0.6572,0.8163
52,deep,0.6689,0.8055
53,deep,0.6892,0.7949
54,deep,0.6488,0.7734
55,deep,0.6576,0.7921
56,deep,0.6632,0.7747
57,deep,0.6474,0.8317
58,deep,0.653,0.8062
59,deep,0.6413,0.7682
60,deep,0.6326,0.7471
61,deep,0.6388,0.7551
62,deep,0.6312,0.7616
63,deep,0.6323,0.7539
64,deep,0.6368,0.7561
65,deep,0.6346,0.7783
66,deep,0.6331,0.7731
67,deep,0.5991,0.7311
68,deep,0.5978,0.7233
69,deep,0.5876,0.7364
70,deep,0.5842,0.7268
71,deep,0.5908,0.7468
72,deep,0.584,0.723
73,deep,0.5816,0.7148
74,deep,0.5818,0.714
75,deep,0.5771,0.7333
76,deep,0.5776,0.7155
77,deep,0.5762,0.7168
78,deep,0.5717,0.7085
79,deep,0.5715,0.6984
80,deep,0.5768,0.7081
81,deep,0.5722,0.6975
82,deep,0.5732,0.6967
83,deep,0.5828,0.6942
84,deep,0.569,0.7234
85,deep,0.5795,0.6922
86,deep,0.5728,0.7093
87,deep,0.5659,0.6857
88,deep,0.5641,0.6913
89,deep,0.5606,0.6788
90,deep,0.5599,0.6964
91,deep,0.5673,0.6938
92,deep,0.5577,0.6911
93,deep,0.5581,0.6986
94,deep,0.5599,0.716
95,deep,0.5572,0.6986
96,deep,0.5459,0.6953
97,deep,0.5478,0.6635
98,deep,0.535,0.6754
99,deep,0.535,0.6746
100,deep,0.5378,0.6593
