epoch,model,train_rmse,val_rmse
1,medium,1.3972,1.1997
2,medium,1.1533,1.0297
3,medium,1.0403,1.0798
4,medium,0.9926,0.9713
5,medium,1.0137,1.0178
6,medium,0.9329,0.9566
7,medium,0.9271,0.9766
8,medium,0.899,1.0314
9,medium,0.9018,0.9552
10,medium,0.8789,0.9048
11,medium,0.8822,1.0046
12,medium,0.899,1.1111
13,medium,0.8477,0.8877
14,medium,0.8535,0.8832
15,medium,0.8375,0.9145
16,medium,0.8319,0.8856
17,medium,0.7969,0.9077
18,medium,0.8478,0.8774
19,medium,0.7898,0.8589
20,medium,0.8039,0.8564
21,medium,0.7822,0.9331
22,medium,0.7751,0.8506
23,medium,0.7831,0.852
24,medium,0.782,0.9684
25,medium,0.7622,0.8501
26,medium,0.7637,0.8406
27,medium,0.7688,0.8266
28,medium,0.7387,0.8246
29,medium,0.7358,0.8281
30,medium,0.7558,0.913
31,medium,0.795,0.8356
32,medium,0.7471,0.8398
33,medium,0.7283,0.8655
34,medium,0.7153,0.7998
35,medium,0.711,0.8252
36,medium,0.7317,0.8746
37,medium,0.7051,0.816
38,medium,0.7628,0.9376
39,medium,0.7264,1.0532
40,medium,0.6874,0.7991
41,medium,0.6986,0.8079
42,medium,0.7455,0.7967
43,medium,0.743,0.8133
44,medium,0.6818,0.7902
45,medium,0.6805,0.7752
46,medium,0.7001,0.8993
47,medium,0.6784,0.7919
48,medium,0.6817,0.7717
49,medium,0.6794,0.8306
50,medium,0.6782,0.7694
51,medium,0.7087,0.9498
52,medium,0.6645,0.7766
53,medium,0.6828,0.8001
54,medium,0.6634,0.7814
55,medium,0.6887,0.7832
56,medium,0.6738,0.7668
57,medium,0.6688,0.7603
58,medium,0.653,0.7575
59,medium,0.6587,0.7549
60,medium,0.6873,0.8781
61,medium,0.6746,0.8371
62,medium,0.6848,0.7635
63,medium,0.674,0.7498
64,medium,0.6758,0.7593
65,medium,0.6599,0.7789
66,medium,0.6435,0.7538
67,medium,0.6541,0.737
68,medium,0.6359,0.7577
69,medium,0.7049,0.8271
70,medium,0.7172,0.8938
71,medium,0.6442,0.7499
72,medium,0.6452,0.7295
73,medium,0.6426,0.7465
74,medium,0.6279,0.7578
75,medium,0.633,0.7806
76,medium,0.6497,0.7407
77,medium,0.6319,0.729
78,medium,0.64,0.7637
79,medium,0.6443,0.7572
80,medium,0.6228,0.8068
81,medium,0.6619,0.7355
82,medium,0.6414,0.7116
83,medium,0.6309,0.7505
84,medium,0.6182,0.8465
85,medium,0.6285,0.7412
86,medium,0.6172,0.7196
87,medium,0.6326,0.7353
88,medium,0.6092,0.7155
89,medium,0.5938,0.7189
90,medium,0.5934,0.69
91,medium,0.5778,0.7025
92,medium,0.6122,0.8589
93,medium,0.5743,0.693
94,medium,0.5754,0.7299
95,medium,0.5744,0.6806
96,medium,0.5815,0.7072
97,medium,0.5674,0.7488
98,medium,0.5687,0.688
99,medium,0.5905,0.7085
100,medium,0.5695,0.6756
