dataset,split,model,rmse,pearson
OLD_RAW,random,RF_500t,0.845953601689063,0.818547914963446
OLD_RAW,random,XGB,0.9078054670023106,0.7927592000151151
OLD_RAW,random,LGBM,0.9154931579447084,0.7861775635834174
OLD_RAW,random,MLP,1.0679957299779324,0.6902566590138779
OLD_RAW,scaffold,RF_500t,1.0054500822554193,0.747340095208664
OLD_RAW,scaffold,XGB,1.0797090635572746,0.7013187517218993
OLD_RAW,scaffold,LGBM,1.0659067640105697,0.711332025506642
OLD_RAW,scaffold,MLP,1.2273677127971874,0.6062360117195245
NEW_RAW,random,RF_500t,0.8678384374320867,0.856717411537661
NEW_RAW,random,XGB,0.9530667417802587,0.8272684456678395
NEW_RAW,random,LGBM,0.9626649223196865,0.8227539406723015
NEW_RAW,random,MLP,1.0172771805701382,0.7966353739751131
NEW_RAW,scaffold,RF_500t,1.024675505729237,0.810193616069639
NEW_RAW,scaffold,XGB,1.0653171387592937,0.7970664855187832
NEW_RAW,scaffold,LGBM,1.0676463212518332,0.7952177816034083
NEW_RAW,scaffold,MLP,1.187693798713478,0.7371113898466544
