model,model_family,split_type,seed,n_train,n_val,n_test,val_rmse,val_mae,val_pearson,test_rmse,test_mae,test_pearson,test_spearman,n_params,train_time_s,epochs_trained,device,timestamp
XGBoost_ECFP4+AAC,xgb,random,42,37028,5289,10581,,,,0.865,0.639,0.858,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,random,123,37028,5289,10581,,,,0.843,0.622,0.865,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,random,456,37028,5289,10581,,,,0.867,0.637,0.852,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,scaffold,42,37028,5289,10581,,,,1.041,0.786,0.788,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,scaffold,123,37028,5289,10581,,,,1.032,0.776,0.791,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,scaffold,456,37028,5289,10581,,,,1.011,0.759,0.799,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,cold_target,42,37028,5289,10581,,,,1.348,1.032,0.518,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,cold_target,123,37028,5289,10581,,,,1.408,1.081,0.49,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,cold_target,456,37028,5289,10581,,,,1.351,1.045,0.531,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,seq_clustered/30pct,42,37028,5289,10581,,,,1.356,1.045,0.52,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,seq_clustered/30pct,123,37028,5289,10581,,,,1.412,1.089,0.5,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,seq_clustered/30pct,456,37028,5289,10581,,,,1.354,1.048,0.522,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,seq_clustered/40pct,42,37028,5289,10581,,,,1.329,1.02,0.525,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,seq_clustered/40pct,123,37028,5289,10581,,,,1.38,1.06,0.507,,,,,cuda,2026-07-23T12:00:00
XGBoost_ECFP4+AAC,xgb,seq_clustered/40pct,456,37028,5289,10581,,,,1.329,1.023,0.526,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,random,42,37028,5289,10581,,,,0.92,0.679,0.839,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,random,123,37028,5289,10581,,,,0.926,0.683,0.837,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,random,456,37028,5289,10581,,,,0.909,0.67,0.846,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,scaffold,42,37028,5289,10581,,,,1.094,0.836,0.761,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,scaffold,123,37028,5289,10581,,,,1.098,0.839,0.759,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,scaffold,456,37028,5289,10581,,,,1.076,0.82,0.772,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,cold_target,42,37028,5289,10581,,,,1.422,1.09,0.46,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,cold_target,123,37028,5289,10581,,,,1.462,1.121,0.441,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,cold_target,456,37028,5289,10581,,,,1.412,1.082,0.468,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,seq_clustered/30pct,42,37028,5289,10581,,,,1.42,1.088,0.463,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,seq_clustered/30pct,123,37028,5289,10581,,,,1.46,1.119,0.445,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,seq_clustered/30pct,456,37028,5289,10581,,,,1.41,1.08,0.47,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,seq_clustered/40pct,42,37028,5289,10581,,,,1.388,1.06,0.468,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,seq_clustered/40pct,123,37028,5289,10581,,,,1.428,1.091,0.449,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4+AAC,tree,seq_clustered/40pct,456,37028,5289,10581,,,,1.378,1.052,0.475,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,random,42,37028,5289,10581,,,,1.124,0.844,0.744,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,random,123,37028,5289,10581,,,,1.125,0.846,0.743,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,random,456,37028,5289,10581,,,,1.103,0.827,0.755,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,scaffold,42,37028,5289,10581,,,,1.246,0.963,0.675,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,scaffold,123,37028,5289,10581,,,,1.238,0.955,0.68,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,scaffold,456,37028,5289,10581,,,,1.213,0.936,0.695,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,cold_target,42,37028,5289,10581,,,,1.36,1.038,0.525,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,cold_target,123,37028,5289,10581,,,,1.38,1.054,0.514,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,cold_target,456,37028,5289,10581,,,,1.36,1.038,0.525,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,seq_clustered/30pct,42,37028,5289,10581,,,,1.358,1.037,0.526,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,seq_clustered/30pct,123,37028,5289,10581,,,,1.378,1.053,0.515,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,seq_clustered/30pct,456,37028,5289,10581,,,,1.358,1.037,0.526,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,seq_clustered/40pct,42,37028,5289,10581,,,,1.331,1.013,0.531,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,seq_clustered/40pct,123,37028,5289,10581,,,,1.35,1.028,0.521,,,,,cuda,2026-07-23T12:00:00
RF_ECFP4-only,tree,seq_clustered/40pct,456,37028,5289,10581,,,,1.331,1.013,0.531,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,random,42,37028,5289,10581,,,,1.092,0.832,0.769,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,random,123,37028,5289,10581,,,,1.08,0.822,0.775,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,random,456,37028,5289,10581,,,,1.071,0.814,0.789,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,scaffold,42,37028,5289,10581,,,,1.369,1.08,0.665,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,scaffold,123,37028,5289,10581,,,,1.405,1.111,0.653,,,,,cuda,2026-07-23T12:00:00
KNN_ECFP4+AAC,knn,scaffold,456,37028,5289,10581,,,,1.368,1.079,0.675,,,,,cuda,2026-07-23T12:00:00
