model,split_type,seed,size_label,n_train,test_rmse,test_pearson,train_time_s
XGBoost_ECFP4+AAC,random,42,100,100,1.5521574664066307,0.39692986011505127,1.1
RF_ECFP4+AAC,random,42,100,100,1.529593960149898,0.4164939202602871,0.5
XGBoost_ECFP4+AAC,random,42,200,200,1.5330700081543385,0.4575151205062866,0.8
RF_ECFP4+AAC,random,42,200,200,1.4844203840306096,0.4698352999314502,0.6
XGBoost_ECFP4+AAC,random,42,500,500,1.3766121516544751,0.576957106590271,1.2
RF_ECFP4+AAC,random,42,500,500,1.3810024529523834,0.5707337743097546,0.9
XGBoost_ECFP4+AAC,random,42,1000,1000,1.3178481177369148,0.6226978302001953,1.5
RF_ECFP4+AAC,random,42,1000,1000,1.3315755696918716,0.608448924093359,1.7
XGBoost_ECFP4+AAC,random,42,2000,2000,1.224404398480989,0.6845136284828186,2.0
RF_ECFP4+AAC,random,42,2000,2000,1.2559645632419363,0.6654314868471986,3.3
XGBoost_ECFP4+AAC,random,42,5000,5000,1.0850335619609492,0.7627283334732056,2.7
RF_ECFP4+AAC,random,42,5000,5000,1.133284242885863,0.7396400133197094,9.4
XGBoost_ECFP4+AAC,random,42,10000,10000,0.9896546421793821,0.8076815605163574,3.6
RF_ECFP4+AAC,random,42,10000,10000,1.0495917833582242,0.7830357832045107,21.8
XGBoost_ECFP4+AAC,random,42,20000,20000,0.9228215288391631,0.8359559774398804,5.0
RF_ECFP4+AAC,random,42,20000,20000,0.9784062983829018,0.8157289647100929,53.7
XGBoost_ECFP4+AAC,random,42,full,37028,0.8679932983113355,0.8572165369987488,8.1
RF_ECFP4+AAC,random,42,full,37028,0.9203915557585223,0.8392695884486384,123.6
XGBoost_ECFP4+AAC,random,123,100,100,1.6438262950755953,0.3871673047542572,0.6
RF_ECFP4+AAC,random,123,100,100,1.6273223059910504,0.3989757127653807,0.6
XGBoost_ECFP4+AAC,random,123,200,200,1.4925451998359938,0.46495336294174194,0.9
RF_ECFP4+AAC,random,123,200,200,1.4859897836773177,0.4825302351836949,0.6
XGBoost_ECFP4+AAC,random,123,500,500,1.355006818085581,0.6001320481300354,1.2
RF_ECFP4+AAC,random,123,500,500,1.3454681356583384,0.6006706955972271,0.9
XGBoost_ECFP4+AAC,random,123,1000,1000,1.2825259856329823,0.6512796878814697,1.5
RF_ECFP4+AAC,random,123,1000,1000,1.2910564294919233,0.6493269816912984,1.7
XGBoost_ECFP4+AAC,random,123,2000,2000,1.2062612997523938,0.6973314881324768,1.9
RF_ECFP4+AAC,random,123,2000,2000,1.2420157651271047,0.6764684755384319,3.4
XGBoost_ECFP4+AAC,random,123,5000,5000,1.0630048786456892,0.7752388715744019,2.6
RF_ECFP4+AAC,random,123,5000,5000,1.1184383567110165,0.7507889580434293,9.2
XGBoost_ECFP4+AAC,random,123,10000,10000,0.969221861577701,0.8179490566253662,3.6
RF_ECFP4+AAC,random,123,10000,10000,1.0509691788335993,0.7849147646639523,21.3
XGBoost_ECFP4+AAC,random,123,20000,20000,0.9030596052734987,0.8446393609046936,5.0
RF_ECFP4+AAC,random,123,20000,20000,0.9613764493880871,0.8243399721551301,52.3
XGBoost_ECFP4+AAC,random,123,full,37028,0.8546653354148891,0.8627715110778809,8.0
RF_ECFP4+AAC,random,123,full,37028,0.9189855490429366,0.8416992334858304,128.8
XGBoost_ECFP4+AAC,random,456,100,100,1.6279936138890114,0.3444027006626129,0.5
RF_ECFP4+AAC,random,456,100,100,1.5757874565987193,0.35568604112215363,0.5
XGBoost_ECFP4+AAC,random,456,200,200,1.5063434619319644,0.45842593908309937,0.8
RF_ECFP4+AAC,random,456,200,200,1.4885680240197006,0.4657262662546615,0.6
XGBoost_ECFP4+AAC,random,456,500,500,1.392181425584413,0.5621830821037292,1.2
RF_ECFP4+AAC,random,456,500,500,1.3967929525075933,0.5598118959108555,0.9
XGBoost_ECFP4+AAC,random,456,1000,1000,1.2936273378466625,0.6387044191360474,1.5
RF_ECFP4+AAC,random,456,1000,1000,1.298083750728235,0.6385775549962762,1.8
XGBoost_ECFP4+AAC,random,456,2000,2000,1.2118639447640984,0.6919799447059631,2.0
RF_ECFP4+AAC,random,456,2000,2000,1.2468874998917852,0.6739650629437206,3.4
XGBoost_ECFP4+AAC,random,456,5000,5000,1.0729965192590805,0.7698693871498108,2.6
RF_ECFP4+AAC,random,456,5000,5000,1.1287215424590789,0.7472807874823861,9.3
XGBoost_ECFP4+AAC,random,456,10000,10000,0.9766877666240389,0.814246654510498,3.4
RF_ECFP4+AAC,random,456,10000,10000,1.0367089240585383,0.7916341302173295,21.6
XGBoost_ECFP4+AAC,random,456,20000,20000,0.9042190287556473,0.8439846634864807,4.9
RF_ECFP4+AAC,random,456,20000,20000,0.9663511126141507,0.8221588499852196,52.5
XGBoost_ECFP4+AAC,random,456,full,37028,0.8545059290189722,0.862746000289917,7.6
RF_ECFP4+AAC,random,456,full,37028,0.9160291457245364,0.8426223364921952,127.0
XGBoost_ECFP4+AAC,scaffold,42,100,100,1.6139682295412843,0.39947789907455444,0.5
RF_ECFP4+AAC,scaffold,42,100,100,1.5884190132343308,0.42095107902729156,0.5
XGBoost_ECFP4+AAC,scaffold,42,200,200,1.5482633121262506,0.4725795388221741,0.8
RF_ECFP4+AAC,scaffold,42,200,200,1.5429868361832575,0.4712108077076858,0.6
XGBoost_ECFP4+AAC,scaffold,42,500,500,1.50427479377336,0.5154682993888855,1.2
RF_ECFP4+AAC,scaffold,42,500,500,1.4914832197135837,0.522766383258057,0.9
XGBoost_ECFP4+AAC,scaffold,42,1000,1000,1.4095177724041887,0.5910387635231018,1.5
RF_ECFP4+AAC,scaffold,42,1000,1000,1.4256107824845936,0.5825373844138653,1.7
XGBoost_ECFP4+AAC,scaffold,42,2000,2000,1.3038998813370766,0.6665605306625366,2.0
RF_ECFP4+AAC,scaffold,42,2000,2000,1.3380511081722266,0.6491324848702107,3.4
XGBoost_ECFP4+AAC,scaffold,42,5000,5000,1.212265762827657,0.7224401235580444,2.7
RF_ECFP4+AAC,scaffold,42,5000,5000,1.2816400708923286,0.6819978846701867,9.2
XGBoost_ECFP4+AAC,scaffold,42,10000,10000,1.1419380677527506,0.7584256529808044,3.5
RF_ECFP4+AAC,scaffold,42,10000,10000,1.2082777766388135,0.7260542454493011,21.5
XGBoost_ECFP4+AAC,scaffold,42,20000,20000,1.0755187889738567,0.7897488474845886,5.1
RF_ECFP4+AAC,scaffold,42,20000,20000,1.144963529274912,0.7598995751768057,53.0
XGBoost_ECFP4+AAC,scaffold,42,full,37196,1.0406393262088947,0.804995059967041,7.9
RF_ECFP4+AAC,scaffold,42,full,37196,1.1101320760111877,0.7751783912020231,119.7
XGBoost_ECFP4+AAC,scaffold,123,100,100,1.5883065555205935,0.41041475534439087,0.5
RF_ECFP4+AAC,scaffold,123,100,100,1.5660587647685782,0.4129139474781641,0.5
XGBoost_ECFP4+AAC,scaffold,123,200,200,1.5062529251260173,0.4875783324241638,0.8
RF_ECFP4+AAC,scaffold,123,200,200,1.5102330473888212,0.4866587612145966,0.6
XGBoost_ECFP4+AAC,scaffold,123,500,500,1.4223148378293555,0.5612508058547974,1.2
RF_ECFP4+AAC,scaffold,123,500,500,1.4176207033764168,0.5808999962458011,0.9
XGBoost_ECFP4+AAC,scaffold,123,1000,1000,1.328154933816507,0.6347556114196777,1.5
