seed,size,n_train,model,test_rmse,test_pearson
42,500,500,RF_ECFP4+AAC,1.3721,0.3985
42,1000,1000,RF_ECFP4+AAC,1.335,0.4445
42,2500,2500,RF_ECFP4+AAC,1.2175,0.5741
42,5000,5000,RF_ECFP4+AAC,1.1274,0.6521
42,10000,10000,RF_ECFP4+AAC,1.0769,0.6918
42,full,14338,RF_ECFP4+AAC,1.0524,0.7084
123,500,500,RF_ECFP4+AAC,1.3504,0.4251
123,1000,1000,RF_ECFP4+AAC,1.3138,0.4712
123,2500,2500,RF_ECFP4+AAC,1.2131,0.5817
123,5000,5000,RF_ECFP4+AAC,1.1469,0.6378
123,10000,10000,RF_ECFP4+AAC,1.0739,0.6924
123,full,14338,RF_ECFP4+AAC,1.0546,0.7068
456,500,500,RF_ECFP4+AAC,1.3952,0.377
456,1000,1000,RF_ECFP4+AAC,1.3006,0.4897
456,2500,2500,RF_ECFP4+AAC,1.19,0.6037
456,5000,5000,RF_ECFP4+AAC,1.1691,0.6167
456,10000,10000,RF_ECFP4+AAC,1.0799,0.69
456,full,14338,RF_ECFP4+AAC,1.0561,0.7057
